case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,support_ceiling,initial_granularity,final_granularity,reached_target,explicit_stop,correct_target_stop,correct_degrade_stop,correct_stop,ceiling_violation,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,zero_yield_actions,overlap_waste_cost,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution,oracle_cost_to_target,cost_regret_vs_oracle,oracle_top1_action_id,oracle_top1_action_hit,premature_stop,justified_degrade_stop
C09-darpa-optc-sysclient0201-0923,random,0.2,11,random,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-004|C09-AA-006|C09-AA-003|C09-AA-001|C09-AA-002|STOP,5,0.8889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,fixed_order,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-001|C09-AA-002|C09-AA-003|C09-AA-004|C09-AA-006|STOP,5,1.5111,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,coverage_greedy,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,9.0,,5,C09-AA-001|C09-AA-004|C09-AA-003|C09-AA-002|STOP,4,0.8889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,project05_m1,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-001|C09-AA-004|C09-AA-003|C09-AA-002|C09-AA-006|STOP,5,1.0889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,project05_m2,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C09-AA-005,0,0.0,1,1,1.0,1.0,0,1,3.0,0.0,C09-AA-005,1,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,project05_m3a_gap_compat,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C09-AA-005,0,0.0,1,1,1.0,1.0,0,1,3.0,0.0,C09-AA-005,1,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,m1_no_granularity,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-006|C09-AA-001|C09-AA-004|C09-AA-003|C09-AA-002|STOP,5,0.8889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,m1_no_uncertainty,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-001|C09-AA-004|C09-AA-003|C09-AA-002|C09-AA-006|STOP,5,1.0889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,m1_no_risk,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-001|C09-AA-004|C09-AA-003|C09-AA-002|C09-AA-006|STOP,5,1.0889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,m1_no_coverage,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-004|C09-AA-001|C09-AA-003|C09-AA-002|C09-AA-006|STOP,5,1.0889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,m1_no_cost,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,10.0,10.0,4,4,C09-AA-002|C09-AA-001|C09-AA-004|C09-AA-005,3,1.6389,1,1,1.0,1.0,0,1,3.0,7.0,C09-AA-005,0,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,cmi_proxy,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,11.0,,6,C09-AA-004|C09-AA-003|C09-AA-001|C09-AA-002|C09-AA-006|STOP,5,1.0889,1,0,0.75,0.6667,1,1,3.0,,C09-AA-005,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,oracle_optimal,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C09-AA-005,0,0.0,1,1,1.0,1.0,0,1,3.0,0.0,C09-AA-005,1,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,11,full_evidence,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,1.0,1.0,0,0,,,,,,
C09-darpa-optc-sysclient0201-0923,random,0.2,23,random,G3_campaign,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,10.0,,5,C09-AA-003|C09-AA-001|C09-AA-005|C09-AA-002|STOP,4,1.0,1,0,0.75,0.6667,1,1,2.0,,C09-AA-004,0,1,0
C09-darpa-optc-sysclient0201-0923,random,0.2,23,fixed_order,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,9.0,9.0,4,4,C09-AA-001|C09-AA-002|C09-AA-003|C09-AA-004,3,1.3111,1,1,1.0,1.0,0,1,2.0,7.0,C09-AA-004,0,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,23,coverage_greedy,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C09-AA-001|C09-AA-004,1,0.0,1,1,1.0,1.0,0,1,2.0,2.0,C09-AA-004,0,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,23,project05_m1,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C09-AA-001|C09-AA-004,1,0.0,1,1,1.0,1.0,0,1,2.0,2.0,C09-AA-004,0,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,23,project05_m2,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C09-AA-004,0,0.0,1,1,1.0,1.0,0,1,2.0,0.0,C09-AA-004,1,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,23,project05_m3a_gap_compat,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C09-AA-004,0,0.0,1,1,1.0,1.0,0,1,2.0,0.0,C09-AA-004,1,0,0
C09-darpa-optc-sysclient0201-0923,random,0.2,23,m1_no_granularity,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,6.0,6.0,3,3,C09-AA-006|C09-AA-001|C09-AA-004,2,0.0,1,1,1.0,1.0,0,1,2.0,4.0,C09-AA-004,0,0,0
